Source;Target;Weight;Type
10;104;1;undirected
68;71;1;undirected
40;88;1;undirected
61;82;1;undirected
266;273;1;undirected
46;126;2;undirected
15;20;2;undirected
11;127;1;undirected
71;102;5;undirected
60;73;1;undirected
2;84;1;undirected
19;366;2;undirected
12;120;1;undirected
26;94;1;undirected
68;85;1;undirected
20;83;2;undirected
15;78;1;undirected
101;114;1;undirected
16;83;1;undirected
118;120;2;undirected
1;99;1;undirected
65;91;1;undirected
18;56;1;undirected
43;89;1;undirected
93;223;4;undirected
51;66;1;undirected
72;106;1;undirected
26;98;1;undirected
55;237;1;undirected
40;275;1;undirected
9;11;2;undirected
29;101;1;undirected
82;274;1;undirected
24;118;1;undirected
46;66;1;undirected
36;225;1;undirected
68;288;1;undirected
94;98;1;undirected
68;102;1;undirected
19;262;1;undirected
78;83;1;undirected
78;121;1;undirected
1;135;1;undirected
40;266;2;undirected
63;111;1;undirected
19;207;1;undirected
100;284;3;undirected
12;49;1;undirected
36;67;1;undirected
51;119;1;undirected
149;291;1;undirected
15;83;3;undirected
20;111;1;undirected
43;116;1;undirected
33;94;2;undirected
34;68;1;undirected
43;49;1;undirected
2;32;1;undirected
32;84;2;undirected
60;180;1;undirected
5;307;1;undirected
95;347;1;undirected
24;120;1;undirected
49;89;1;undirected
12;43;1;undirected
16;20;1;undirected
40;273;1;undirected
76;82;1;undirected
72;260;1;undirected
15;16;2;undirected
88;266;1;undirected
