Source;Target;Weight;Type
40;88;1;undirected
61;82;1;undirected
27;46;2;undirected
15;20;4;undirected
118;305;1;undirected
2;84;1;undirected
19;366;6;undirected
149;291;1;undirected
26;94;2;undirected
22;75;1;undirected
111;271;2;undirected
266;273;5;undirected
18;56;4;undirected
26;98;2;undirected
30;81;1;undirected
36;89;1;undirected
95;276;1;undirected
13;20;3;undirected
55;237;1;undirected
102;112;1;undirected
28;229;2;undirected
43;233;1;undirected
18;35;1;undirected
19;262;1;undirected
78;83;1;undirected
94;98;2;undirected
63;111;1;undirected
2;32;2;undirected
60;68;3;undirected
12;254;1;undirected
36;67;5;undirected
24;118;1;undirected
15;83;4;undirected
123;237;1;undirected
17;18;2;undirected
32;84;3;undirected
101;114;4;undirected
17;56;2;undirected
113;243;1;undirected
20;103;1;undirected
49;89;2;undirected
115;128;1;undirected
21;263;1;undirected
15;16;4;undirected
71;226;1;undirected
10;104;1;undirected
67;89;1;undirected
13;66;1;undirected
58;93;2;undirected
49;87;1;undirected
118;120;3;undirected
21;46;2;undirected
1;99;6;undirected
18;195;1;undirected
42;68;1;undirected
21;27;4;undirected
20;66;1;undirected
93;223;6;undirected
224;237;1;undirected
16;271;4;undirected
82;274;3;undirected
1;253;1;undirected
46;66;1;undirected
111;112;1;undirected
72;260;2;undirected
42;63;1;undirected
288;289;1;undirected
68;102;1;undirected
26;33;1;undirected
78;121;1;undirected
22;46;1;undirected
56;195;1;undirected
17;195;1;undirected
85;108;1;undirected
33;94;2;undirected
35;56;1;undirected
65;91;1;undirected
79;102;2;undirected
5;307;1;undirected
95;268;1;undirected
13;113;1;undirected
48;128;2;undirected
62;293;2;undirected
1;135;1;undirected
72;113;1;undirected
88;266;1;undirected
68;71;1;undirected
35;195;2;undirected
78;229;2;undirected
15;276;1;undirected
20;276;1;undirected
12;120;1;undirected
1;232;1;undirected
13;103;1;undirected
28;78;2;undirected
20;83;3;undirected
93;99;1;undirected
55;70;1;undirected
29;101;1;undirected
60;229;2;undirected
100;284;4;undirected
289;343;1;undirected
63;68;3;undirected
88;117;1;undirected
51;66;1;undirected
62;124;1;undirected
40;275;2;undirected
9;11;4;undirected
250;260;1;undirected
56;119;1;undirected
51;119;1;undirected
36;225;1;undirected
29;123;1;undirected
18;119;1;undirected
70;265;1;undirected
32;271;1;undirected
40;266;8;undirected
19;207;1;undirected
15;285;1;undirected
106;276;1;undirected
16;111;1;undirected
20;111;1;undirected
43;89;2;undirected
113;239;2;undirected
43;49;3;undirected
67;76;1;undirected
46;140;1;undirected
10;230;1;undirected
90;243;1;undirected
95;347;1;undirected
0;75;1;undirected
22;71;2;undirected
5;283;1;undirected
66;103;1;undirected
46;126;2;undirected
11;127;2;undirected
71;102;6;undirected
60;73;4;undirected
15;31;1;undirected
238;290;1;undirected
20;74;1;undirected
60;180;1;undirected
95;280;1;undirected
22;40;1;undirected
90;113;1;undirected
15;78;1;undirected
16;83;2;undirected
6;270;3;undirected
60;101;1;undirected
21;352;1;undirected
289;315;1;undirected
68;229;3;undirected
63;229;1;undirected
2;97;1;undirected
17;35;2;undirected
43;116;1;undirected
68;85;1;undirected
21;140;1;undirected
22;266;1;undirected
68;288;1;undirected
248;297;1;undirected
95;231;1;undirected
16;20;3;undirected
72;106;1;undirected
275;293;2;undirected
67;144;1;undirected
12;49;2;undirected
62;275;3;undirected
65;139;1;undirected
79;112;1;undirected
34;68;1;undirected
280;288;1;undirected
76;82;1;undirected
27;140;1;undirected
3;254;2;undirected
43;87;1;undirected
24;120;1;undirected
12;43;2;undirected
16;276;1;undirected
40;273;5;undirected
146;168;2;undirected
94;122;1;undirected
124;275;1;undirected
