Source;Target;Weight;Type
67;79;1;undirected
40;88;1;undirected
61;82;1;undirected
266;273;3;undirected
15;20;3;undirected
2;84;1;undirected
19;366;4;undirected
149;291;1;undirected
26;94;1;undirected
111;271;2;undirected
106;293;1;undirected
68;101;1;undirected
18;56;4;undirected
26;98;1;undirected
83;111;1;undirected
95;276;2;undirected
13;20;2;undirected
55;237;1;undirected
102;112;1;undirected
28;229;1;undirected
18;35;1;undirected
19;262;1;undirected
46;62;1;undirected
78;83;1;undirected
94;98;1;undirected
63;111;1;undirected
2;32;2;undirected
60;68;2;undirected
36;67;2;undirected
15;83;5;undirected
275;293;2;undirected
17;18;2;undirected
46;293;1;undirected
32;84;5;undirected
101;114;2;undirected
113;243;1;undirected
20;103;1;undirected
49;89;2;undirected
115;128;1;undirected
15;16;3;undirected
10;104;1;undirected
13;66;1;undirected
78;101;1;undirected
58;93;2;undirected
49;87;2;undirected
61;100;1;undirected
118;120;3;undirected
1;99;5;undirected
18;195;1;undirected
42;68;1;undirected
21;27;1;undirected
20;66;1;undirected
93;223;5;undirected
16;271;3;undirected
82;274;2;undirected
24;118;1;undirected
46;66;1;undirected
111;112;1;undirected
72;260;2;undirected
42;63;1;undirected
288;289;1;undirected
68;102;1;undirected
26;33;1;undirected
78;121;2;undirected
22;46;1;undirected
56;195;1;undirected
17;195;1;undirected
32;101;2;undirected
85;108;2;undirected
33;94;2;undirected
35;56;1;undirected
60;82;1;undirected
46;275;1;undirected
32;78;1;undirected
65;91;1;undirected
79;102;1;undirected
5;307;1;undirected
13;113;1;undirected
48;128;1;undirected
84;101;1;undirected
62;293;2;undirected
16;20;2;undirected
88;266;1;undirected
68;71;1;undirected
35;195;2;undirected
78;229;1;undirected
43;233;1;undirected
12;120;1;undirected
17;56;2;undirected
13;103;1;undirected
28;78;1;undirected
20;83;3;undirected
93;99;1;undirected
55;70;1;undirected
29;101;1;undirected
60;229;2;undirected
100;284;3;undirected
63;68;2;undirected
90;243;1;undirected
106;275;1;undirected
51;66;1;undirected
62;124;1;undirected
40;275;2;undirected
9;11;2;undirected
56;119;1;undirected
51;119;1;undirected
36;225;1;undirected
18;119;1;undirected
70;265;2;undirected
46;106;1;undirected
32;271;1;undirected
40;266;6;undirected
19;207;1;undirected
62;106;1;undirected
16;111;1;undirected
20;111;1;undirected
43;89;1;undirected
15;111;1;undirected
98;122;1;undirected
43;49;3;undirected
95;347;1;undirected
0;75;1;undirected
22;71;1;undirected
66;103;1;undirected
46;126;2;undirected
11;127;1;undirected
71;102;5;undirected
60;73;3;undirected
238;290;1;undirected
60;180;1;undirected
22;40;1;undirected
90;113;1;undirected
15;78;1;undirected
16;83;2;undirected
6;270;1;undirected
68;229;3;undirected
63;229;1;undirected
17;35;2;undirected
43;116;1;undirected
22;266;1;undirected
68;288;1;undirected
1;135;1;undirected
72;106;1;undirected
68;85;1;undirected
12;49;1;undirected
62;275;4;undirected
46;116;1;undirected
65;139;1;undirected
79;112;1;undirected
34;68;1;undirected
76;82;1;undirected
3;254;1;undirected
43;87;2;undirected
24;120;1;undirected
12;43;1;undirected
40;273;3;undirected
146;168;1;undirected
94;122;1;undirected
124;275;1;undirected
